dataset,model,case_id,label,title,probability_fake,confidence,binary_prediction
oof_train,new_svm_sigmoid,true_12,0,Këto janë shenjat që tregojnë se e keni kaluar Koronavirusin,0.9875471973248557,0.9875471973248557,1
oof_train,new_svm_sigmoid,true_172,0,Edhe një zyrtar i LDK-së shërohet nga Koronavirusi,0.9107133351695395,0.9107133351695395,1
oof_train,new_svm_sigmoid,true_222,0,Ky është personi nga Ferizaj që vdiq nga Koronavirusi,0.9445060085923328,0.9445060085923328,1
oof_train,new_svm_sigmoid,true_260,0,Analisti i tregon arsyet përse nuk bënë të ndërtohet Xhamia në Prishtinë,0.9398569364502748,0.9398569364502748,1
oof_train,new_svm_sigmoid,true_284,0,Gani Geci: Shpresoj që aktakuza të ketë ndodhur me dijeninë e amerikanëve,0.9034597239491393,0.9034597239491393,1
oof_train,new_svm_sigmoid,true_537,0,Dalin fotot nga ditëlindja e djalit të Edi Rames,0.9114164739344696,0.9114164739344696,1
oof_train,new_svm_sigmoid,true_607,0,Vjosa Osmani: Unë jam sherifi ktu,0.9212140630664402,0.9212140630664402,1
oof_train,new_svm_sigmoid,true_609,0,"Punëtorët e Telekomit: Më mirë me vdek prej koronavirusit, se nga Blerim Devolli",0.9208327337272486,0.9208327337272486,1
oof_train,new_svm_sigmoid,true_693,0,Ramush Haradinaj: Un do te behem President se shpejti,0.9100779380507023,0.9100779380507023,1
oof_train,new_svm_sigmoid,true_782,0,Zeka e quan lajm historik thirrjen nga Washingtoni: E mbështes Thaçin në dialog,0.9743632109924958,0.9743632109924958,1
oof_train,new_svm_sigmoid,true_832,0,UNDP: Vjosa Osmani liderja më e pëlqyer në Kosovë,0.9656739105150057,0.9656739105150057,1
oof_train,new_svm_sigmoid,true_1640,0,Udha e shkronjave të Kur’anit – Mësimi i 6 (Video),0.9913934818209476,0.9913934818209476,1
oof_train,new_svm_sigmoid,fake_230,1,"Dasmë në shtetrrethim! Nusen e morën për 60′, çifti nga Tirana rrëfejnë pengun e martesës në kohën e COVID-19: Postblloku na repektoi me nderim ushtrie",0.059650131078224186,0.9403498689217759,0
oof_train,new_svm_sigmoid,fake_334,1,"Dobia që i sjell organizmit, per të gjithë ju që keni konsumuar deri më sot djathë në mengjes",0.05953862828468211,0.9404613717153179,0
oof_train,new_svm_sigmoid,fake_356,1,"Emisari i BE-së flet se kush duhet të udhëheq dialogun me Serbinë, Thaçi apo Hoti?",0.023733278199388644,0.9762667218006114,0
oof_train,new_svm_sigmoid,fake_476,1,9 Këshilla Praktike të Milionerëve që Duhet t’i Vëmë në Punë sa më Shpejt,0.019614267653311517,0.9803857323466885,0
oof_train,new_svm_sigmoid,fake_489,1,"Shkencëtari britanik, Shattock: Do të duhet të jetojmë për shumë dekada me coronavirusin",0.053924715315255334,0.9460752846847447,0
oof_train,new_svm_sigmoid,fake_513,1,"Lajm i keq për punëtorët shëndetësor, ky është vendimi i fundit i Qeverisë për ta..",0.042555317956867206,0.9574446820431328,0
oof_train,new_svm_sigmoid,fake_554,1,Dasmorët kërkojnë koparen që dhanë për sallat e dasmave,0.005623945870955357,0.9943760541290446,0
oof_train,new_svm_sigmoid,fake_560,1,Lajm i mirë: Vaksina amerikane rezulton e suksesshme dhe pa efekte anësore në 45 vullnetarë,0.03535969957620064,0.9646403004237993,0
oof_train,new_svm_sigmoid,fake_563,1,Dikush po bën fushatë të frikshme për ta vendosur maskën.,0.0719434950639696,0.9280565049360304,0
oof_train,new_svm_sigmoid,fake_579,1,Kështu ndikon coronavirusi në të gjithë trupin e njeriut,0.018350241841565484,0.9816497581584345,0
oof_train,new_svm_sigmoid,fake_622,1,A dini se si ta dalloni Koronavirusin nga virusi i stomakut?,0.06589873188721655,0.9341012681127835,0
oof_train,new_svm_sigmoid,fake_633,1,Nuk po zgjidhni dot shalqirin e duhur : Të gjithë po i’u dalin “kungull”? Ja se cili detaj u ndihmon juve të zgjidhni shalqirin më të mirë të dyqanit,0.03922181471329134,0.9607781852867087,0
oof_train,new_svm_sigmoid,fake_644,1,"Kosovën e pret krizë e jashtëzakonshme ekonomike, sipas BQK-së",0.08626121535540991,0.9137387846445901,0
oof_train,new_svm_sigmoid,fake_648,1,"Plaku 182 vjeç tregon sekretin e jatëgjatësisë, ai ka ngrënë diçka që kurrë nuk do e hanim",0.04341772611481013,0.9565822738851899,0
oof_train,new_svm_sigmoid,fake_656,1,Njihuni me 5 ushqimet që gratë duhet të hanë çdo ditë,0.023215598529994667,0.9767844014700053,0
oof_train,new_svm_sigmoid,fake_681,1,"Djali më tha: “Ik nga shtëpia!”, nuk dija cfarë të bëja dhe u…",0.06343231202410965,0.9365676879758904,0
oof_train,new_svm_sigmoid,fake_699,1,Ministria e Shendetsis merr kete vendim : Do te rikthehemi ne Karantine !,0.03631643724652295,0.963683562753477,0
oof_train,new_svm_sigmoid,fake_711,1,Pirja e duhanit dhe shishat rrisin rrezikun për t’u prekur nga Covidi-19,0.0338864404121019,0.9661135595878981,0
oof_train,new_svm_sigmoid,fake_813,1,Arbenita E Feros: Pasqyrë Moj Pasqyrë Kush Më E Bukur Se Unë?,0.04333781718043129,0.9566621828195687,0
