candidate_id,classifier,parameter_name,parameter_value,classifier_display,fold,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,confusion_matrix,feature_fit_seconds,feature_transform_seconds,classifier_fit_seconds,training_seconds,prediction_seconds
logistic_regression_c_0_5,logistic_regression,C,0.5,Logistic Regression,1,639,320,319,0.8888888888888888,0.8925688509021842,0.8888888888888888,0.8886182700966507,0.8547008547008547,0.9375,0.8941877794336811,0.9305555555555556,0.8401253918495298,0.8830313014827018,20,51,"[[300, 20], [51, 268]]",11.640705099969637,2.474343099980615,0.30885210004635155,11.949557200015988,0.002926400047726929
logistic_regression_c_1_0,logistic_regression,C,1.0,Logistic Regression,1,639,320,319,0.8967136150234741,0.9002281277051003,0.8967136150234741,0.8964778129367985,0.8628571428571429,0.94375,0.9014925373134328,0.9377162629757786,0.8495297805642633,0.8914473684210527,18,48,"[[302, 18], [48, 271]]",11.640705099969637,2.474343099980615,0.3778516000020318,12.018556699971668,0.003334100008942187
linear_svm_c_0_5,linear_svm,C,0.5,Linear SVM,1,639,320,319,0.9061032863849765,0.9083972234404986,0.9061032863849765,0.9059651000202119,0.877906976744186,0.94375,0.9096385542168675,0.9389830508474576,0.8683385579937304,0.9022801302931596,18,42,"[[302, 18], [42, 277]]",11.640705099969637,2.474343099980615,0.4170107999816537,12.05771589995129,0.00489530002232641
linear_svm_c_1_0,linear_svm,C,1.0,Linear SVM,1,639,320,319,0.9123630672926447,0.9143184861824183,0.9123630672926447,0.9122543248750644,0.8859649122807017,0.946875,0.9154078549848943,0.9427609427609428,0.877742946708464,0.9090909090909091,17,39,"[[303, 17], [39, 280]]",11.640705099969637,2.474343099980615,0.6078498000279069,12.248554899997544,0.003585200000088662
complement_nb_alpha_0_5,complement_nb,alpha,0.5,Complement Naive Bayes,1,639,320,319,0.8794992175273866,0.8830884762516219,0.8794992175273866,0.8792057295414382,0.8461538461538461,0.928125,0.8852459016393442,0.9201388888888888,0.8307210031347962,0.8731466227347611,23,54,"[[297, 23], [54, 265]]",11.640705099969637,2.474343099980615,0.03881629998795688,11.679521399957594,0.009805399982724339
complement_nb_alpha_1_0,complement_nb,alpha,1.0,Complement Naive Bayes,1,639,320,319,0.8763693270735524,0.8905781566582485,0.8763693270735524,0.875213337474619,0.8162729658792651,0.971875,0.8873038516405135,0.9651162790697675,0.780564263322884,0.8630849220103987,9,70,"[[311, 9], [70, 249]]",11.640705099969637,2.474343099980615,0.03307499998481944,11.673780099954456,0.00875619996804744
logistic_regression_c_0_5,logistic_regression,C,0.5,Logistic Regression,2,639,319,320,0.8888888888888888,0.8912976831778566,0.8888888888888888,0.8887253880080279,0.8604651162790697,0.9278996865203761,0.8929110105580694,0.9220338983050848,0.85,0.8845528455284553,23,48,"[[296, 23], [48, 272]]",9.608347499975935,2.081441399990581,0.2783060999936424,9.886653599969577,0.003781599982175976
logistic_regression_c_1_0,logistic_regression,C,1.0,Logistic Regression,2,639,319,320,0.8904538341158059,0.8934901281060668,0.8904538341158059,0.8902506483285273,0.8587896253602305,0.9341692789968652,0.8948948948948949,0.928082191780822,0.846875,0.8856209150326797,21,49,"[[298, 21], [49, 271]]",9.608347499975935,2.081441399990581,0.3687960999668576,9.977143599942792,0.004180599993560463
linear_svm_c_0_5,linear_svm,C,0.5,Linear SVM,2,639,319,320,0.9076682316118936,0.9106120322364699,0.9076682316118936,0.907509228308999,0.8757225433526011,0.9498432601880877,0.9112781954887218,0.9453924914675768,0.865625,0.9037520391517129,16,43,"[[303, 16], [43, 277]]",9.608347499975935,2.081441399990581,0.4357012999826111,10.044048799958546,0.0034103000070899725
linear_svm_c_1_0,linear_svm,C,1.0,Linear SVM,2,639,319,320,0.9107981220657277,0.9133391533010967,0.9107981220657277,0.9106668607951772,0.8808139534883721,0.9498432601880877,0.9140271493212669,0.9457627118644067,0.871875,0.9073170731707317,16,41,"[[303, 16], [41, 279]]",9.608347499975935,2.081441399990581,0.7540956999873742,10.362443199963309,0.004460400028619915
complement_nb_alpha_0_5,complement_nb,alpha,0.5,Complement Naive Bayes,2,639,319,320,0.8826291079812206,0.8862823538694683,0.8826291079812206,0.8823611911836635,0.8485714285714285,0.9310344827586207,0.8878923766816144,0.9238754325259516,0.834375,0.8768472906403941,22,53,"[[297, 22], [53, 267]]",9.608347499975935,2.081441399990581,0.03273660002741963,9.641084100003354,0.008666999987326562
complement_nb_alpha_1_0,complement_nb,alpha,1.0,Complement Naive Bayes,2,639,319,320,0.8732394366197183,0.884666489503056,0.8732394366197183,0.8723107878037455,0.8181818181818182,0.9592476489028213,0.8831168831168831,0.9509433962264151,0.7875,0.8615384615384616,13,68,"[[306, 13], [68, 252]]",9.608347499975935,2.081441399990581,0.039876599970739335,9.648224099946674,0.011809299991000444
logistic_regression_c_0_5,logistic_regression,C,0.5,Logistic Regression,3,639,320,319,0.8826291079812206,0.889665457109648,0.8826291079812206,0.8820826662382933,0.837465564738292,0.95,0.890190336749634,0.9420289855072463,0.8150470219435737,0.8739495798319328,16,59,"[[304, 16], [59, 260]]",10.926926299987826,2.0401575000141747,0.3557370000053197,11.282663299993146,0.00365359999705106
logistic_regression_c_1_0,logistic_regression,C,1.0,Logistic Regression,3,639,320,319,0.892018779342723,0.8992304327020131,0.892018779342723,0.8915160529392298,0.8457300275482094,0.959375,0.8989751098096632,0.9528985507246377,0.8244514106583072,0.8840336134453781,13,56,"[[307, 13], [56, 263]]",10.926926299987826,2.0401575000141747,0.36627120000775903,11.293197499995586,0.0044009999837726355
linear_svm_c_0_5,linear_svm,C,0.5,Linear SVM,3,639,320,319,0.9014084507042254,0.9068488248360977,0.9014084507042254,0.9010677587547913,0.8599439775910365,0.959375,0.9069423929098966,0.9539007092198581,0.8432601880877743,0.8951747088186356,13,50,"[[307, 13], [50, 269]]",10.926926299987826,2.0401575000141747,0.3459776000236161,11.272903900011443,0.003192499978467822
linear_svm_c_1_0,linear_svm,C,1.0,Linear SVM,3,639,320,319,0.9092331768388107,0.9133668728309746,0.9092331768388107,0.9089978078961483,0.8721590909090909,0.959375,0.9136904761904762,0.9547038327526133,0.8589341692789969,0.9042904290429042,13,45,"[[307, 13], [45, 274]]",10.926926299987826,2.0401575000141747,0.6002354000229388,11.527161700010765,0.0034087999956682324
complement_nb_alpha_0_5,complement_nb,alpha,0.5,Complement Naive Bayes,3,639,320,319,0.8701095461658842,0.8775742926489825,0.8701095461658842,0.8694476310259017,0.8246575342465754,0.940625,0.8788321167883212,0.9306569343065694,0.799373040752351,0.8600337268128162,19,64,"[[301, 19], [64, 255]]",10.926926299987826,2.0401575000141747,0.037271799985319376,10.964198099973146,0.014343900023959577
complement_nb_alpha_1_0,complement_nb,alpha,1.0,Complement Naive Bayes,3,639,320,319,0.8716744913928013,0.8882095355542935,0.8716744913928013,0.8702693144898787,0.8082901554404145,0.975,0.8838526912181303,0.9683794466403162,0.768025078369906,0.8566433566433567,8,74,"[[312, 8], [74, 245]]",10.926926299987826,2.0401575000141747,0.0463787000044249,10.973304999992251,0.014912999991793185
logistic_regression_c_0_5,logistic_regression,C,0.5,Logistic Regression,4,639,319,320,0.8904538341158059,0.8949430961560394,0.8904538341158059,0.8901520140276938,0.8526912181303116,0.9435736677115988,0.8958333333333334,0.9370629370629371,0.8375,0.8844884488448845,18,52,"[[301, 18], [52, 268]]",10.630432699981611,2.070330200018361,0.31519809999736026,10.945630799978971,0.004491399973630905
logistic_regression_c_1_0,logistic_regression,C,1.0,Logistic Regression,4,639,319,320,0.8998435054773083,0.9034139185031697,0.8998435054773083,0.8996296639384971,0.8653295128939829,0.9467084639498433,0.9041916167664671,0.9413793103448276,0.853125,0.8950819672131147,17,47,"[[302, 17], [47, 273]]",10.630432699981611,2.070330200018361,0.5876490999944508,11.218081799976062,0.0044707999913953245
linear_svm_c_0_5,linear_svm,C,0.5,Linear SVM,4,639,319,320,0.9061032863849765,0.9084183349776911,0.9061032863849765,0.9059761848579344,0.8775510204081632,0.9435736677115988,0.9093655589123867,0.9391891891891891,0.86875,0.9025974025974026,18,42,"[[301, 18], [42, 278]]",10.630432699981611,2.070330200018361,0.47127589996671304,11.101708599948324,0.005356000037863851
linear_svm_c_1_0,linear_svm,C,1.0,Linear SVM,4,639,319,320,0.9092331768388107,0.9108516718139055,0.9092331768388107,0.9091486308225314,0.8849557522123894,0.9404388714733543,0.9118541033434651,0.9366666666666666,0.878125,0.9064516129032258,19,39,"[[300, 19], [39, 281]]",10.630432699981611,2.070330200018361,0.6980526999686845,11.328485399950296,0.0054861000389792025
complement_nb_alpha_0_5,complement_nb,alpha,0.5,Complement Naive Bayes,4,639,319,320,0.8982785602503912,0.9037091910879081,0.8982785602503912,0.8979456741678497,0.8567415730337079,0.9561128526645768,0.9037037037037037,0.950530035335689,0.840625,0.8922056384742952,14,51,"[[305, 14], [51, 269]]",10.630432699981611,2.070330200018361,0.04284629999892786,10.673278999980539,0.006972300005145371
complement_nb_alpha_1_0,complement_nb,alpha,1.0,Complement Naive Bayes,4,639,319,320,0.8904538341158059,0.9019590159050032,0.8904538341158059,0.8896806852897279,0.8337801608579088,0.9749216300940439,0.8988439306358381,0.9699248120300752,0.80625,0.8805460750853242,8,62,"[[311, 8], [62, 258]]",10.630432699981611,2.070330200018361,0.03438190004089847,10.66481460002251,0.01114759995834902
logistic_regression_c_0_5,logistic_regression,C,0.5,Logistic Regression,5,639,320,319,0.8873239436619719,0.8903069640340763,0.8873239436619719,0.8870994100462203,0.8563218390804598,0.93125,0.8922155688622755,0.9243986254295533,0.8432601880877743,0.8819672131147541,22,50,"[[298, 22], [50, 269]]",10.891486199980136,2.0566068000043742,0.29446100001223385,11.18594719999237,0.003968899953179061
logistic_regression_c_1_0,logistic_regression,C,1.0,Logistic Regression,5,639,320,319,0.8982785602503912,0.9003422231001995,0.8982785602503912,0.8981408510577786,0.8717201166180758,0.934375,0.9019607843137255,0.9290540540540541,0.8620689655172413,0.8943089430894309,21,44,"[[299, 21], [44, 275]]",10.891486199980136,2.0566068000043742,0.4001317999791354,11.291617999959271,0.004411200003232807
linear_svm_c_0_5,linear_svm,C,0.5,Linear SVM,5,639,320,319,0.9123630672926447,0.9155433979765679,0.9123630672926447,0.912188430035949,0.8793103448275862,0.95625,0.9161676646706587,0.9518900343642611,0.8683385579937304,0.9081967213114754,14,42,"[[306, 14], [42, 277]]",10.891486199980136,2.0566068000043742,0.42572269996162504,11.317208899941761,0.003960600006394088
linear_svm_c_1_0,linear_svm,C,1.0,Linear SVM,5,639,320,319,0.9139280125195618,0.9157154763316087,0.9139280125195618,0.9138305096980524,0.8885630498533724,0.946875,0.9167927382753404,0.9429530201342282,0.8808777429467085,0.9108589951377634,17,38,"[[303, 17], [38, 281]]",10.891486199980136,2.0566068000043742,0.7098303000093438,11.60131649998948,0.004693900002166629
complement_nb_alpha_0_5,complement_nb,alpha,0.5,Complement Naive Bayes,5,639,320,319,0.8763693270735524,0.8794790391505352,0.8763693270735524,0.8761053281990565,0.8452722063037249,0.921875,0.8819133034379671,0.9137931034482759,0.8307210031347962,0.8702791461412152,25,54,"[[295, 25], [54, 265]]",10.891486199980136,2.0566068000043742,0.03531649999786168,10.926802699977998,0.0112498999806121
